fecha,año,mes,ciudad,zona,precipitacion_mm,temp_max,temp_min,humedad,viento_10m,presion,temp_media,rango_termico,indice_calor_aprox,evento_lluvia,humedad_alta,estacion,condicion_climatica
1981-01-01,1981,enero,Medellín,urbana,2.07,20.61,12.99,90.66,0.81,81.56,16.8,7.619999999999999,42.1508,True,True,seca_corta,lluvioso
1981-01-02,1981,enero,Envigado,mixta,0.93,20.31,12.7,89.39,0.96,81.58,16.505,7.609999999999999,41.3317,True,True,seca_corta,lluvioso
1981-01-03,1981,enero,Envigado,mixta,4.53,22.58,12.12,87.52,1.02,81.49,17.35,10.46,41.5176,True,True,seca_corta,lluvioso
1981-01-04,1981,enero,Itagüí,urbana,1.72,22.73,12.54,83.95,0.8,81.5,17.635,10.19,40.77849999999999,True,False,seca_corta,lluvioso
1981-01-05,1981,enero,Itagüí,urbana,4.52,21.95,13.34,87.02,0.56,81.53,17.645,8.61,41.96959999999999,True,True,seca_corta,lluvioso
1981-01-06,1981,enero,Sabaneta,suburbana,14.68,19.65,14.14,92.1,0.63,81.5,16.895,5.509999999999998,42.84699999999999,True,True,seca_corta,lluvioso
1981-01-07,1981,enero,Medellín,urbana,17.64,20.68,13.98,90.76,0.56,81.49,17.33,6.699999999999999,42.8888,True,True,seca_corta,lluvioso
1981-01-08,1981,enero,Envigado,mixta,1.9,19.12,13.56,90.59,0.85,81.56,16.34,5.56,41.6397,True,True,seca_corta,lluvioso
1981-01-09,1981,enero,Bello,montañosa,0.53,20.5,13.35,89.47,0.73,81.52,16.925,7.15,41.9391,True,True,seca_corta,lluvioso
1981-01-10,1981,enero,Medellín,urbana,2.42,19.13,14.36,90.12,0.4,81.6,16.745,4.77,42.2046,True,True,seca_corta,lluvioso
1981-01-11,1981,enero,Itagüí,urbana,1.16,21.99,12.67,85.06,0.63,81.53,17.33,9.319999999999999,40.9588,True,True,seca_corta,lluvioso
1981-01-12,1981,enero,Sabaneta,suburbana,0.42,21.61,12.75,86.49,0.74,81.44,17.18,8.86,41.2037,True,True,seca_corta,lluvioso
1981-01-13,1981,enero,Envigado,mixta,1.05,20.3,14.33,88.88,0.66,81.52,17.315,5.970000000000001,42.1834,True,True,seca_corta,lluvioso
1981-01-14,1981,enero,Envigado,mixta,0.77,22.21,12.32,87.06,0.71,81.57,17.265,9.89,41.4978,True,True,seca_corta,lluvioso
1981-01-15,1981,enero,Envigado,mixta,0.66,21.14,12.97,88.38,0.85,81.6,17.055,8.17,41.6254,True,True,seca_corta,lluvioso
1981-01-16,1981,enero,Envigado,mixta,3.17,22.44,12.61,86.45,1.01,81.55,17.525,9.830000000000002,41.3465,True,True,seca_corta,lluvioso
1981-01-17,1981,enero,Itagüí,urbana,1.34,22.44,12.61,89.33,0.9,81.6,17.525,9.830000000000002,42.3739,True,True,seca_corta,lluvioso
1981-01-18,1981,enero,Medellín,urbana,1.53,22.42,12.56,88.48,0.84,81.63,17.49,9.860000000000001,42.1004,True,True,seca_corta,lluvioso
1981-01-19,1981,enero,Sabaneta,suburbana,0.87,22.73,13.06,84.74,0.84,81.59,17.895,9.67,41.2712,True,False,seca_corta,lluvioso
1981-01-20,1981,enero,Itagüí,urbana,1.0,22.88,13.7,83.08,0.67,81.6,18.29,9.18,41.2374,True,False,seca_corta,lluvioso
1981-01-21,1981,enero,Itagüí,urbana,1.19,22.73,12.44,82.08,0.76,81.63,17.585,10.29,40.13940000000001,True,False,seca_corta,lluvioso
1981-01-22,1981,enero,Bello,montañosa,2.16,22.38,12.06,84.83,0.83,81.64,17.22,10.32,40.63289999999999,True,False,seca_corta,lluvioso
1981-01-23,1981,enero,Medellín,urbana,3.3,22.18,11.31,82.71,0.66,81.6,16.745,10.87,39.57729999999999,True,False,seca_corta,lluvioso
1981-01-24,1981,enero,Sabaneta,suburbana,3.54,22.65,13.06,80.68,0.38,81.59,17.855,9.589999999999998,40.21340000000001,True,False,seca_corta,lluvioso
1981-01-25,1981,enero,Envigado,mixta,2.32,20.43,13.79,87.66,0.43,81.61,17.11,6.640000000000001,41.7368,True,True,seca_corta,lluvioso
1981-01-26,1981,enero,Envigado,mixta,3.1,21.15,14.18,89.3,0.66,81.58,17.665,6.969999999999999,42.672,True,True,seca_corta,lluvioso
1981-01-27,1981,enero,Itagüí,urbana,3.91,22.63,12.22,87.3,0.78,81.49,17.425,10.41,41.688,True,True,seca_corta,lluvioso
1981-01-28,1981,enero,Sabaneta,suburbana,7.31,20.83,14.38,92.28,0.69,81.53,17.605,6.449999999999998,43.5744,True,True,seca_corta,lluvioso
1981-01-29,1981,enero,Itagüí,urbana,8.78,19.25,14.91,93.82,0.67,81.6,17.08,4.34,43.5716,True,True,seca_corta,lluvioso
1981-01-30,1981,enero,Itagüí,urbana,5.15,19.07,13.86,91.64,0.72,81.59,16.465,5.210000000000001,42.2022,True,True,seca_corta,lluvioso
1981-01-31,1981,enero,Itagüí,urbana,6.51,18.21,14.33,95.39,0.51,81.47,16.27,3.880000000000001,43.3917,True,True,seca_corta,lluvioso
1981-02-01,1981,febrero,Bello,montañosa,7.84,19.03,13.28,92.63,0.73,81.51,16.155,5.750000000000002,42.2119,True,True,seca_corta,lluvioso
1981-02-02,1981,febrero,Medellín,urbana,4.35,21.54,13.73,86.77,0.62,81.64,17.635,7.809999999999999,41.8351,True,True,seca_corta,lluvioso
1981-02-03,1981,febrero,Itagüí,urbana,13.92,22.37,14.09,88.1,0.62,81.61,18.23,8.280000000000001,42.869,True,True,seca_corta,lluvioso
1981-02-04,1981,febrero,Sabaneta,suburbana,8.66,19.42,13.54,91.36,0.75,81.5,16.48,5.880000000000003,42.1038,True,True,seca_corta,lluvioso
1981-02-05,1981,febrero,Medellín,urbana,8.69,18.95,13.69,90.91,0.53,81.58,16.32,5.26,41.9493,True,True,seca_corta,lluvioso
1981-02-06,1981,febrero,Sabaneta,suburbana,3.39,21.88,13.24,86.91,0.65,81.58,17.56,8.639999999999999,41.7853,True,True,seca_corta,lluvioso
1981-02-07,1981,febrero,Sabaneta,suburbana,7.06,21.15,14.32,89.3,0.31,81.59,17.735,6.829999999999998,42.987,True,True,seca_corta,lluvioso
1981-02-08,1981,febrero,Bello,montañosa,5.54,20.79,14.63,90.01,0.58,81.57,17.71,6.159999999999998,43.00730000000001,True,True,seca_corta,lluvioso
1981-02-09,1981,febrero,Envigado,mixta,2.67,20.45,14.86,92.55,0.67,81.58,17.655,5.59,43.7275,True,True,seca_corta,lluvioso
1981-02-10,1981,febrero,Medellín,urbana,2.34,23.02,13.97,85.1,0.92,81.5,18.495,9.049999999999999,41.934,True,True,seca_corta,lluvioso
1981-02-11,1981,febrero,Envigado,mixta,14.0,17.9,14.65,94.74,0.56,81.56,16.275,3.249999999999998,43.14719999999999,True,True,seca_corta,lluvioso
1981-02-12,1981,febrero,Envigado,mixta,13.35,18.68,13.1,92.95,0.54,81.54,15.89,5.58,42.1855,True,True,seca_corta,lluvioso
1981-02-13,1981,febrero,Bello,montañosa,6.32,21.17,13.59,86.57,0.28,81.57,17.38,7.580000000000002,41.7521,True,True,seca_corta,lluvioso
1981-02-14,1981,febrero,Medellín,urbana,0.84,21.85,13.73,86.38,0.82,81.5,17.79,8.120000000000001,41.7214,True,True,seca_corta,lluvioso
1981-02-15,1981,febrero,Sabaneta,suburbana,2.76,20.45,14.1,88.93,1.04,81.47,17.275,6.35,41.8939,True,True,seca_corta,lluvioso
1981-02-16,1981,febrero,Itagüí,urbana,4.02,21.44,14.09,88.26,0.54,81.44,17.765,7.350000000000001,42.5128,True,True,seca_corta,lluvioso
1981-02-17,1981,febrero,Sabaneta,suburbana,2.23,21.31,15.17,86.62,0.71,81.4,18.24,6.139999999999999,42.3276,True,True,seca_corta,lluvioso
1981-02-18,1981,febrero,Envigado,mixta,10.87,21.53,14.21,89.27,0.71,81.43,17.87,7.32,42.8321,True,True,seca_corta,lluvioso
1981-02-19,1981,febrero,Envigado,mixta,19.96,22.33,14.76,87.05,0.52,81.47,18.545,7.569999999999999,42.90750000000001,True,True,seca_corta,lluvioso
1981-02-20,1981,febrero,Envigado,mixta,10.01,18.39,14.89,93.4,0.66,81.46,16.64,3.5,43.0,True,True,seca_corta,lluvioso
1981-02-21,1981,febrero,Medellín,urbana,5.07,20.62,13.69,91.91,0.69,81.36,17.155,6.930000000000001,43.00230000000001,True,True,seca_corta,lluvioso
1981-02-22,1981,febrero,Bello,montañosa,13.49,21.64,14.48,90.47,0.56,81.31,18.06,7.16,43.5231,True,True,seca_corta,lluvioso
1981-02-23,1981,febrero,Itagüí,urbana,6.69,22.34,15.04,88.2,0.68,81.36,18.69,7.300000000000001,43.32,True,True,seca_corta,lluvioso
1981-02-24,1981,febrero,Itagüí,urbana,2.4,20.31,14.32,90.61,1.06,81.35,17.315,5.989999999999998,42.47430000000001,True,True,seca_corta,lluvioso
1981-02-25,1981,febrero,Medellín,urbana,5.2,22.59,12.44,90.03,1.02,81.3,17.515,10.15,42.51090000000001,True,True,seca_corta,lluvioso
1981-02-26,1981,febrero,Itagüí,urbana,8.65,22.77,15.41,88.24,0.93,81.32,19.09,7.359999999999999,43.55819999999999,True,True,seca_corta,lluvioso
1981-02-27,1981,febrero,Medellín,urbana,5.53,23.41,14.8,86.07,0.91,81.38,19.105,8.61,42.8711,True,True,seca_corta,lluvioso
1981-02-28,1981,febrero,Envigado,mixta,5.59,23.22,13.96,88.28,0.99,81.43,18.59,9.259999999999998,43.0294,True,True,seca_corta,lluvioso
1981-03-01,1981,marzo,Envigado,mixta,10.74,23.69,15.12,87.59,0.94,81.44,19.405,8.570000000000002,43.65170000000001,True,True,seca_principal,lluvioso
1981-03-02,1981,marzo,Sabaneta,suburbana,2.79,23.45,15.27,88.32,0.68,81.46,19.36,8.18,44.0296,True,True,seca_principal,lluvioso
1981-03-03,1981,marzo,Envigado,mixta,7.7,23.85,15.37,88.19,0.82,81.46,19.61,8.480000000000002,44.1387,True,True,seca_principal,lluvioso
1981-03-04,1981,marzo,Bello,montañosa,15.39,23.24,15.77,89.14,0.75,81.44,19.505,7.469999999999999,44.3962,True,True,seca_principal,lluvioso
1981-03-05,1981,marzo,Sabaneta,suburbana,17.96,23.88,15.78,86.75,0.6,81.46,19.83,8.1,44.03749999999999,True,True,seca_principal,lluvioso
1981-03-06,1981,marzo,Itagüí,urbana,32.61,19.02,15.56,94.33,0.54,81.53,17.29,3.459999999999999,44.0409,True,True,seca_principal,lluvioso
1981-03-07,1981,marzo,Bello,montañosa,6.36,19.72,14.75,91.91,0.4,81.55,17.235,4.969999999999999,43.2853,True,True,seca_principal,lluvioso
1981-03-08,1981,marzo,Sabaneta,suburbana,41.12,19.05,14.56,93.45,0.61,81.6,16.805,4.49,43.2165,True,True,seca_principal,lluvioso
1981-03-09,1981,marzo,Bello,montañosa,6.9,20.03,15.17,92.13,0.55,81.65,17.6,4.860000000000001,43.6179,True,True,seca_principal,lluvioso
1981-03-10,1981,marzo,Medellín,urbana,6.61,19.78,15.39,92.51,0.8,81.68,17.585,4.390000000000001,43.5533,True,True,seca_principal,lluvioso
1981-03-11,1981,marzo,Itagüí,urbana,14.07,20.51,14.99,91.02,0.44,81.66,17.75,5.520000000000001,43.4786,True,True,seca_principal,lluvioso
1981-03-12,1981,marzo,Envigado,mixta,6.43,23.16,14.98,86.13,0.53,81.64,19.07,8.18,43.1219,True,True,seca_principal,lluvioso
1981-03-13,1981,marzo,Medellín,urbana,10.18,23.59,14.83,82.52,0.48,81.62,19.21,8.76,42.1056,True,False,seca_principal,lluvioso
1981-03-14,1981,marzo,Itagüí,urbana,11.03,20.58,15.82,91.57,0.38,81.64,18.2,4.759999999999998,44.1521,True,True,seca_principal,lluvioso
1981-03-15,1981,marzo,Medellín,urbana,4.93,24.14,14.47,84.12,0.59,81.62,19.305,9.67,42.6516,True,False,seca_principal,lluvioso
1981-03-16,1981,marzo,Envigado,mixta,6.48,23.97,13.55,83.57,0.72,81.53,18.76,10.42,41.8341,True,False,seca_principal,lluvioso
1981-03-17,1981,marzo,Itagüí,urbana,6.67,22.26,14.16,87.72,0.6,81.56,18.21,8.100000000000001,42.7376,True,True,seca_principal,lluvioso
1981-03-18,1981,marzo,Bello,montañosa,3.0,22.83,14.24,83.93,0.52,81.6,18.535,8.589999999999998,41.86790000000001,True,False,seca_principal,lluvioso
1981-03-19,1981,marzo,Bello,montañosa,9.62,23.71,14.29,86.31,0.58,81.55,19.0,9.420000000000002,43.0763,True,True,seca_principal,lluvioso
1981-03-20,1981,marzo,Itagüí,urbana,5.81,19.79,14.78,90.55,0.43,81.58,17.285,5.01,42.8655,True,True,seca_principal,lluvioso
1981-03-21,1981,marzo,Envigado,mixta,5.05,20.6,14.6,89.23,0.4,81.63,17.6,6.000000000000002,42.7659,True,True,seca_principal,lluvioso
1981-03-22,1981,marzo,Sabaneta,suburbana,9.2,22.72,14.32,89.2,0.44,81.64,18.52,8.399999999999999,43.648,True,True,seca_principal,lluvioso
1981-03-23,1981,marzo,Itagüí,urbana,7.95,22.1,14.59,89.2,0.54,81.66,18.345,7.510000000000002,43.40300000000001,True,True,seca_principal,lluvioso
1981-03-24,1981,marzo,Medellín,urbana,3.62,22.24,13.33,87.1,0.79,81.66,17.785,8.909999999999998,41.975,True,True,seca_principal,lluvioso
1981-03-25,1981,marzo,Sabaneta,suburbana,3.08,20.79,14.26,89.5,0.57,81.65,17.525,6.529999999999999,42.661,True,True,seca_principal,lluvioso
1981-03-26,1981,marzo,Envigado,mixta,0.8,21.52,14.89,86.74,0.47,81.75,18.205,6.629999999999999,42.5002,True,True,seca_principal,lluvioso
1981-03-27,1981,marzo,Envigado,mixta,9.04,23.66,12.68,86.85,1.02,81.64,18.17,10.98,42.1165,True,True,seca_principal,lluvioso
1981-03-28,1981,marzo,Medellín,urbana,5.22,23.68,13.38,82.31,0.89,81.56,18.53,10.3,41.06930000000001,True,False,seca_principal,lluvioso
1981-03-29,1981,marzo,Bello,montañosa,4.01,23.32,13.97,85.47,0.68,81.57,18.645,9.35,42.3741,True,True,seca_principal,lluvioso
1981-03-30,1981,marzo,Envigado,mixta,1.84,23.25,13.64,85.75,0.84,81.62,18.445,9.61,42.15450000000001,True,True,seca_principal,lluvioso
1981-03-31,1981,marzo,Sabaneta,suburbana,2.29,22.02,13.48,86.31,1.07,81.68,17.75,8.54,41.4833,True,True,seca_principal,lluvioso
1981-04-01,1981,abril,Itagüí,urbana,4.95,23.74,13.75,85.01,1.08,81.62,18.745,9.989999999999998,42.0423,True,True,lluviosa,lluvioso
1981-04-02,1981,abril,Sabaneta,suburbana,6.67,23.84,14.6,88.4,0.88,81.48,19.22,9.24,43.776,True,True,lluviosa,lluvioso
1981-04-03,1981,abril,Sabaneta,suburbana,9.45,23.12,14.76,88.14,0.7,81.4,18.94,8.360000000000001,43.5362,True,True,lluviosa,lluvioso
1981-04-04,1981,abril,Bello,montañosa,8.32,21.22,13.12,91.38,0.69,81.44,17.17,8.1,42.8424,True,True,lluviosa,lluvioso
1981-04-05,1981,abril,Sabaneta,suburbana,11.04,19.31,12.91,87.91,0.61,81.52,16.11,6.399999999999999,40.6933,True,True,lluviosa,lluvioso
1981-04-06,1981,abril,Bello,montañosa,14.9,22.1,13.24,87.0,0.6,81.45,17.67,8.860000000000001,41.96,True,True,lluviosa,lluvioso
1981-04-07,1981,abril,Bello,montañosa,4.71,22.66,14.91,89.93,0.78,81.37,18.785,7.75,43.9159,True,True,lluviosa,lluvioso
1981-04-08,1981,abril,Envigado,mixta,4.56,21.92,14.89,90.9,0.87,81.39,18.405,7.030000000000001,43.793,True,True,lluviosa,lluvioso
1981-04-09,1981,abril,Envigado,mixta,0.56,23.08,14.59,88.13,0.8,81.48,18.835,8.489999999999998,43.3579,True,True,lluviosa,lluvioso
1981-04-10,1981,abril,Medellín,urbana,10.76,21.57,14.19,90.58,0.95,81.45,17.88,7.380000000000001,43.1064,True,True,lluviosa,lluvioso
1981-04-11,1981,abril,Sabaneta,suburbana,12.81,22.69,14.91,89.13,0.56,81.42,18.8,7.780000000000001,43.8209,True,True,lluviosa,lluvioso
1981-04-12,1981,abril,Medellín,urbana,11.7,19.81,15.98,95.28,0.58,81.39,17.895,3.829999999999998,44.9314,True,True,lluviosa,lluvioso
1981-04-13,1981,abril,Sabaneta,suburbana,17.03,22.99,14.58,87.2,0.69,81.46,18.785,8.409999999999998,43.07800000000001,True,True,lluviosa,lluvioso
1981-04-14,1981,abril,Medellín,urbana,11.36,18.58,15.17,94.73,0.55,81.53,16.875,3.409999999999998,43.75090000000001,True,True,lluviosa,lluvioso
1981-04-15,1981,abril,Envigado,mixta,5.93,19.43,14.9,92.52,0.7,81.57,17.165,4.529999999999999,43.2066,True,True,lluviosa,lluvioso
1981-04-16,1981,abril,Envigado,mixta,21.13,20.43,14.56,92.85,0.49,81.58,17.495,5.869999999999999,43.7925,True,True,lluviosa,lluvioso
